group,relation,measure,bin,lo,hi,n,n_filtered,filtered_rate,dAP,dAP_lo,dAP_hi,dAUC,dAUC_lo,dAUC_hi
low,rsr,burst,1,1.2491325370856019e-08,0.1824217085556298,1701,343,0.20164609053497942,0.010985950621278185,-0.013925261472173404,0.03583352849353936,0.00707437193265692,-0.0075699637287733575,0.022470465505321995
low,rsr,burst,2,0.18250691595148852,0.4276877691025769,1700,339,0.19941176470588234,0.026204503685447366,0.0015805781906467178,0.054584284133369874,0.006892381317745344,-0.010501343654914948,0.024045190336435995
low,rsr,burst,3,0.42789619066995965,0.830725819381649,1700,344,0.2023529411764706,-0.009156898670558055,-0.034211977470507575,0.013640086840241665,-0.0002632571859779276,-0.013475212913632437,0.013896293477266659
low,rsr,burst,4,0.830725819381649,19.192398506318106,1701,435,0.25573192239858905,0.027477756725238556,-0.01560368954928177,0.06216452003649993,0.01295563908409143,-0.008928092739265583,0.034805294497205506
low,rsr,absdev,1,0.0,0.41772151898734133,1620,273,0.1685185185185185,-0.005813229620338889,-0.028204799719132,0.018858624410471612,0.0002703062836693082,-0.02035752792293079,0.02191327742013339
low,rsr,absdev,2,0.41860465116279055,0.8435988390841667,1619,354,0.21865348980852378,0.03782432565378131,-0.023840389658169744,0.08260236408067272,0.012532100667693901,-0.022897180460539717,0.03917780802153306
low,rsr,absdev,3,0.84375,1.2075242718446604,1619,251,0.15503397158739962,0.013606972335818956,-0.0083772537737026,0.0367141282288428,-0.0015528529158221004,-0.018955641116394636,0.01523853241529115
low,rsr,absdev,4,1.2077922077922079,3.7636363636363637,1619,475,0.2933909820877085,0.010181225022999429,-0.01992370509553589,0.03754973533043447,0.005185130658814851,-0.008634236736746107,0.019173066315009736
low,rsr,down,1,0.0022962112514353095,0.32616487455197163,604,92,0.152317880794702,0.008476278048735335,-0.024828325264266045,0.04301503453066315,0.010822860054347827,-0.017620092254799533,0.04066077069751724
low,rsr,down,2,0.32624113475177285,1.0869565217391308,603,113,0.18739635157545606,0.0977959905052989,-0.007944738850669,0.14127014870845617,0.02528083799891636,-0.03152189005797631,0.05633210901585517
low,rsr,down,3,1.0922570016474467,2.2681833850396416,603,148,0.24543946932006633,0.023120007783905782,-0.017813700992702512,0.06133815574602274,0.02076626076626078,0.002423119869703147,0.037934766748827314
low,rsr,down,4,2.2746113989637307,3.7636363636363637,604,173,0.28642384105960267,0.007331755068020307,-0.03115202064676892,0.045067761869360776,-0.0003513807116130252,-0.025108253436198873,0.02547797957248721
low,rsr,up,1,0.0023255813953486637,0.4530111238972001,1012,212,0.20948616600790515,0.014186996838606136,-0.039639831330832376,0.053043362718610584,0.007076650943396223,-0.017765985772314852,0.030933814094100995
low,rsr,up,2,0.45302396348421414,0.7862595419847329,1012,195,0.19268774703557312,0.001067955509298213,-0.028005957614505264,0.032356936786446217,-0.01074851708878637,-0.03924179739659822,0.019381880503513662
low,rsr,up,3,0.786516853932584,1.0536044362292052,1012,174,0.17193675889328064,0.010634822990848414,-0.016557004782946312,0.04254617979971057,-0.002341371080569532,-0.020600808241823598,0.017288136072249875
low,rsr,up,4,1.053793399057008,3.125,1012,245,0.24209486166007904,0.0021705446850140307,-0.041028951187102806,0.04065302429838365,-0.006850969853391153,-0.02291822458159058,0.010444349019309481
low,rtr,burst,1,1.2491325370856019e-08,0.1824217085556298,1701,343,0.20164609053497942,-0.0024208641130556317,-0.03167800306396972,0.028005401572300147,0.002993168653954337,-0.014894696422774372,0.021945850666886445
low,rtr,burst,2,0.18250691595148852,0.4276877691025769,1700,339,0.19941176470588234,0.01888772710722265,-0.012700639743519199,0.06246842010869377,0.01290869328686397,-0.006009188696651113,0.033221953889312705
low,rtr,burst,3,0.42789619066995965,0.830725819381649,1700,344,0.2023529411764706,-0.010554381570492832,-0.035578681936423974,0.011629224278813296,0.005424212800987838,-0.007267583127121155,0.017715156223005513
low,rtr,burst,4,0.830725819381649,19.192398506318106,1701,435,0.25573192239858905,0.01875687664502672,-0.03772566319236112,0.06797653102193757,0.012289952969802597,-0.01250635742762692,0.038732196070509296
low,rtr,absdev,1,0.0,0.41772151898734133,1620,273,0.1685185185185185,0.012782677794378994,-0.013924470383641271,0.037081908624784485,0.009398718084686907,-0.012877423196334023,0.033467858994727276
low,rtr,absdev,2,0.41860465116279055,0.8435988390841667,1619,354,0.21865348980852378,0.07692651576743291,-0.012758450241787211,0.11806838583689265,0.026278109019450224,-0.010186254048819858,0.052619717207969666
low,rtr,absdev,3,0.84375,1.2075242718446604,1619,251,0.15503397158739962,-0.016709762768829718,-0.049294465930173115,0.006990644116079699,-0.0031726893595209527,-0.020168504453536622,0.014003661343091488
low,rtr,absdev,4,1.2077922077922079,3.7636363636363637,1619,475,0.2933909820877085,-0.016869289455968384,-0.040894463767329234,0.00459497324364932,-0.006297386823702622,-0.018453922104255564,0.006580408333535613
low,rtr,down,1,0.0022962112514353095,0.32616487455197163,604,92,0.152317880794702,0.016664533042088363,-0.015512546143506662,0.043146038502987524,0.004479449728260887,-0.02736525764907744,0.03251755472513485
low,rtr,down,2,0.32624113475177285,1.0869565217391308,603,113,0.18739635157545606,0.12309656306444675,0.0002006970114821079,0.1588298908403388,0.042365902113057595,-0.0025261634651411696,0.06720162116762979
low,rtr,down,3,1.0922570016474467,2.2681833850396416,603,148,0.24543946932006633,-0.028526054504435783,-0.07141944872163672,0.013374389728202122,-0.007950697950697961,-0.028201786303561537,0.014098885918431746
low,rtr,down,4,2.2746113989637307,3.7636363636363637,604,173,0.28642384105960267,-0.047273809908158194,-0.08538592088276148,-0.014473813466976364,-0.005729383206147886,-0.02667007924505721,0.01650743945190355
low,rtr,up,1,0.0023255813953486637,0.4530111238972001,1012,212,0.20948616600790515,0.05793502285517201,-0.009893587695182712,0.0866826681820774,0.0193808962264151,-0.006788540896224506,0.04085442854196067
low,rtr,up,2,0.45302396348421414,0.7862595419847329,1012,195,0.19268774703557312,0.020912121894205847,-0.01351988143794145,0.053620722647680356,0.0015428553494648777,-0.028567000337330596,0.029177060259313662
low,rtr,up,3,0.786516853932584,1.0536044362292052,1012,174,0.17193675889328064,-0.03254815177103758,-0.06459998009207141,0.006306223948845677,-0.0019490851233094908,-0.0197324262944575,0.018178335957940453
low,rtr,up,4,1.053793399057008,3.125,1012,245,0.24209486166007904,0.0036624867781291258,-0.03493566465555215,0.036631708291439406,-0.0035090333395418004,-0.020032204510850974,0.012391459462074293
high,rur,burst,1,2.0242359422445266e-09,0.17479005181585616,2199,139,0.06321055025011368,0.08450100211924678,0.023498228336972078,0.14550425920629448,0.010833275127470853,-0.008348455342385376,0.027541299175325187
high,rur,burst,2,0.17504493432022886,0.40473913794524485,2199,139,0.06321055025011368,0.06729111643456573,0.010874009598594822,0.11266588129328772,0.018534609205839204,-0.006174187210750372,0.04070265625263247
high,rur,burst,3,0.40473913794524485,0.7922117825466931,2199,140,0.06366530241018645,0.030334149515369575,-0.010066741373753118,0.07254385866293014,0.018214806077846403,-0.002109379288147904,0.03939950885321951
high,rur,burst,4,0.7922117825466931,19.622094320584768,2199,210,0.09549795361527967,0.027995129345104418,-0.01617764354855629,0.07670584891737835,0.01318777083482967,-0.0041829416643622205,0.03265788982476421
high,rur,absdev,1,0.0,0.2241379310344831,2123,132,0.06217616580310881,0.05289242062753633,0.001402587567735107,0.1085094819999293,0.0232645389099432,0.0016727853756010988,0.04715882338820019
high,rur,absdev,2,0.2245879120879124,0.686157517899761,2122,171,0.08058435438265787,0.0701219487267262,0.014509713060530244,0.12502628811295075,0.029375848642621417,0.010484451346710121,0.05158826258408974
high,rur,absdev,3,0.6861924686192467,1.065040650406504,2122,144,0.06786050895381715,0.05146091903250187,-0.005966253451118275,0.10735787087790635,0.004256544208515889,-0.014294956248976044,0.024364601448891784
high,rur,absdev,4,1.0652173913043477,4.0,2122,159,0.07492931196983978,0.04825835461777961,-0.0008809908693217509,0.09801563314560148,-0.001887112845503447,-0.022236196868036483,0.017884243191084705
high,rur,down,1,0.002664298401421128,0.2608695652173916,923,59,0.06392199349945829,0.05273240375748134,-0.03433561488566485,0.13506236470468239,0.018832391713747666,-0.01948309003822314,0.05498185045648806
high,rur,down,2,0.2609400324149105,0.7552552552552552,922,76,0.0824295010845987,0.09941205345966572,0.016730922957760914,0.17894813245858557,0.03964787856165235,0.01097611212311785,0.07496856834022772
high,rur,down,3,0.7556270096463025,1.3210382513661205,922,41,0.044468546637744036,-0.05919294292949949,-0.16357779519001386,0.04802019096225074,-0.021793416572077184,-0.05621769857053331,0.009980069219425035
